Nama,Tipe Barang,Varian Barang,Ulasan,Rating,Tanggal
Edhogawa,"SEKAI Kipas Angin Berdiri / High Stand Fan 16"" HSN-1638 PO",Varian barang tidak ditemukan,"Kipasnya Mantap, berfungsi dengan baik,, pengiriman super cepat,, respon penjual sangat baik.. Nama dan nomor kurir dicantumkan pd chat.. 
the best lah.. 👍👍👍👍👍",5,Lebih dari 1 tahun lalu
Gadys,PROGAS kompor portable 2 in 1 Termurah,Varian barang tidak ditemukan,👍🏻👍🏻👍🏻,5,Lebih dari 1 tahun lalu
f***a,PHILIPS AIR FRYER HD 9218 (Khusus Makassar),Varian barang tidak ditemukan,"packagungnya rapi,sellernya ramah,barangnya juga berguna dgn baik ada gransi nya",5,Lebih dari 1 tahun lalu
Roby,SAMSUNG LED TV 32 Inch - UA32N4003 (KHUSUS MAKASSAR),Varian barang tidak ditemukan,Ulasan tidak ditemukan,5,Lebih dari 1 tahun lalu
Anan,SHARP Kulkas 1 Pintu SJ-X165MG,Varian barang tidak ditemukan,"respon cepat, barang juga cepat sampai 👍👍👍",5,Lebih dari 1 tahun lalu
Zesi,RINNAI Kompor Gas 2 Tungku RI-522S,Varian barang tidak ditemukan,bagus dan berfungsi dengan baik,5,Lebih dari 1 tahun lalu
Muhammad,LG PURICARE MASKER AP300AWFA,Varian barang tidak ditemukan,"mantap kaka, penyok dikit tp gpp.. kalo ready lg pengen repeat",5,Lebih dari 1 tahun lalu
T***o,COSMOS Electric Kettle 1.2 L CTL-210,Varian barang tidak ditemukan,"respon penjual cepat, pengiriman cepat, sblm di kirim dites Quality Control, barang original bergaransi Resmi...paling murah dari semua toko...barang mantap.joss",5,Lebih dari 1 tahun lalu
delia,SHARP Air Purifier FP-F30Y,Varian barang tidak ditemukan,"terima kasih atas respon pelayanan yg sangat cepat, barang ok.",5,Lebih dari 1 tahun lalu
Gwyneth,Miyako Hand Mixer HM 620,Varian barang tidak ditemukan,over all...😍😍😍😍 biar bintang bicaara,5,Lebih dari 1 tahun lalu
R***y,LG Kulkas 2 Pintu Smart Inverter GN-B195 SQMT ( Khusus Makassar ),Varian barang tidak ditemukan,"kulkas sudah sampai dengan selamat, admin dan kurir nya ramah.. semoga bisa awettt bertahunn2. terimakasihhhhh👍",5,Lebih dari 1 tahun lalu
F***i,XIAOMI MI TV 4 BEZELLESS 43 L43M6-EL,Varian barang tidak ditemukan,keren. pelayanan baik. harusnya daftat official merchant,5,Lebih dari 1 tahun lalu
Calvin,TURBO Mixer Pro Chef New EHM-9588,Varian barang tidak ditemukan,"pelayanan ramah, cepat, brg diperiksa dan difotokan sebelum dikirimkan, barang tiba dengan aman dan tepat waktu..makasih",5,Lebih dari 1 tahun lalu
Mudmainna,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,pengirimannya cepat dan terpercaya.. kualitas barang baguss respon admin juga good job,5,Lebih dari 1 tahun lalu
Andy,SETRIKA MASPION HA 180,Varian barang tidak ditemukan,"respon cepat, barang di uji. dan pelapak memang tokcer. terima kasih agan🙏",5,Lebih dari 1 tahun lalu
H***y,PROGAS kompor portable 2 in 1 Termurah,Varian barang tidak ditemukan,barang sesuai deskripsi dan berfungsi dengan baik terima kasih banyak alaska recommended seller,5,Lebih dari 1 tahun lalu
H***y,Tabung Gas Kaleng 6 Hi-Cook,Varian barang tidak ditemukan,sesuai pesanan,5,Lebih dari 1 tahun lalu
M***h,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,mantap,5,Lebih dari 1 tahun lalu
J***a,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,seller sangat responsif,5,Lebih dari 1 tahun lalu
Amin,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,barang cepat sampai,5,Lebih dari 1 tahun lalu
Muhammad,Cosmos Blender CB 282G,Varian barang tidak ditemukan,"Selalu suka belanja di Alaska, pelayanan cepat dan baik.",5,Lebih dari 1 tahun lalu
Fiqi,MIYAKO Dispenser Portable WD-190 H,Varian barang tidak ditemukan,"Barangnya mantap, pengirimannya cepat, komunikasi dg penjual lancar👍🏻",5,Lebih dari 1 tahun lalu
Widy,Cosmos Stand Fan 16 inch - 16XDC,Varian barang tidak ditemukan,"respon cepat, recommended.",5,Lebih dari 1 tahun lalu
Pramita,Cosmos Blender CB 282G,Varian barang tidak ditemukan,Barang baru bagus sesuai harapan respon agak lambat dikit to memuaskan terima aksih alaska,5,Lebih dari 1 tahun lalu
Risol,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,👍👍👍,5,Lebih dari 1 tahun lalu
Falensia,MITOCHIBA MESIN CUCI PORTABLE WM-1,Varian barang tidak ditemukan,"Mesin cuci sangat bermanfaat, berfungsi dengan baik, tidak cepat panas digunakan hingga bilas 3 kali, seller juga sangat responsif dan dilihatkan semua foto keadaan baran...",5,Lebih dari 1 tahun lalu
Falensia,BUBBLE WRAP,Varian barang tidak ditemukan,Pelayanan bagus,5,Lebih dari 1 tahun lalu
Nirwan,PROGAS kompor portable 2 in 1 Termurah,Varian barang tidak ditemukan,"Awalnya kira barangx rusak tp ternyata blm tau cara pakainya,,, 
tp Mbakx respon skali tawwa pd saat qta bertanya,,, 
terima kasih, makin percaya beli barang via online d...",5,Lebih dari 1 tahun lalu
A***a,Cosmos wall fan 16 WFC /kipas angin listrik dinding tembok,Varian barang tidak ditemukan,"berfungsi dengan baik, seller fast response",5,Lebih dari 1 tahun lalu
Dapur,MIYAKO Stand Mixer SM-625,Varian barang tidak ditemukan,"pertama kali beli online dan barangx terjamin bagus krn dr tokonya sdh dites dan diperiksa
terima kasih Alaska",5,Lebih dari 1 tahun lalu
F***h,KIRIN Sandwich Toaster / Pemanggang Roti KST-365,Varian barang tidak ditemukan,"Barang tiba sesuai pesanan. Pelayanan sangat responsif, dikirimkan foto produk dan test produknya. Recommended belanja online di Alaska",5,Lebih dari 1 tahun lalu
I***a,PROGAS kompor portable 2 in 1 Termurah,Varian barang tidak ditemukan,Ulasan tidak ditemukan,5,Lebih dari 1 tahun lalu
MUCHTAR,PHILIPS Stand Mixer Com HR-1559,Varian barang tidak ditemukan,"barang bagus,respon pihak toko sangat cepat,nyaman belanja disini",5,Lebih dari 1 tahun lalu
cicilia,Cosmos Blender CB 282G,Varian barang tidak ditemukan,barang bagus,5,Lebih dari 1 tahun lalu
MUCHTAR,KIRIN Oven Listrik 25Liter KBO-250 RA,Varian barang tidak ditemukan,"barang bagus,respon toko sangat cepat,barang sesuai pesanan,pelayanan sangat baik",5,Lebih dari 1 tahun lalu
F***y,PHILIPS Blender Glass 2 Liter HR-2222,Varian barang tidak ditemukan,"Response cepat, dan informatif",5,Lebih dari 1 tahun lalu
Melita,"SEKAI Kipas Angin Tornado 12"" 2in1 HFN-1210",Varian barang tidak ditemukan,Pelayanan Cepat,5,Lebih dari 1 tahun lalu
Crown,MITOCHIBA MESIN CUCI PORTABLE WM-1,Varian barang tidak ditemukan,cukup bagus,5,Lebih dari 1 tahun lalu
Stevy,MIYAKO Dispenser Portable WD-190 H,Varian barang tidak ditemukan,respon penjual cepat. ditest sebelum kirim. pakai instant sejam-duajam sudah diterima.,5,Lebih dari 1 tahun lalu
Iqbal,MODENA - MC 0356 Sliding Glass Freezer,Varian barang tidak ditemukan,Terima kasih telah dibantu dgn baik dan ramah staff alaska makassar.. Kooperatif 👍👍👍,5,Lebih dari 1 tahun lalu
Arief,PACKING KAYU,Varian barang tidak ditemukan,"mantap packingnya, sampe agak susah tdi bukanya",5,Lebih dari 1 tahun lalu
R***i,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,alhamdulillah barang sdh tiba dengan aman. admin nya fast respon. semoga barang nya awet . thx yah..,5,Lebih dari 1 tahun lalu
M***h,Cosmos Stand Fan 16 inch - 16XDC,Varian barang tidak ditemukan,barang berfungsi dengan baik,5,Lebih dari 1 tahun lalu
V***r,"LG LED TV 43"" 43LM5500 PTA",Varian barang tidak ditemukan,cara mudah berbelanja tanpa perlu repot kena macet 👍👍👍👍👍,5,Lebih dari 1 tahun lalu
E***y,MITOCHIBA MESIN CUCI PORTABLE WM-1,Varian barang tidak ditemukan,"Barang Sesuai,  Dan Bagus",5,Lebih dari 1 tahun lalu
Siti,PROGAS kompor portable 2 in 1 Termurah,Varian barang tidak ditemukan,"Barangnya mantap, berfungsi dgn baik",5,Lebih dari 1 tahun lalu
Siti,Tabung Gas Kaleng 6 Hi-Cook,Varian barang tidak ditemukan,Mantulll,5,Lebih dari 1 tahun lalu
P***t,PHILIPS AIR FRYER HD 9218,Varian barang tidak ditemukan,"Barang bekerja dengan baik, packaging sangat amat, reseller cepat, sopan, dan handal🙏🏻 Terima kasih🙏🏻",5,Lebih dari 1 tahun lalu
F***n,XIAOMI Mi TV 4 43” LED Android Smart TV(KHUSUS MAKASSAR),Varian barang tidak ditemukan,barang oke,5,Lebih dari 1 tahun lalu
abdullah,miyako Rice cooker 3 in 1 model mcm 609,Varian barang tidak ditemukan,packingnya bagus,5,Lebih dari 1 tahun lalu
A***a,Miyako Hand Mixer HM 620,Varian barang tidak ditemukan,Brg sdh diterima dan kondisi sangat bagus,5,Lebih dari 1 tahun lalu
P***t,PACKING KAYU,Varian barang tidak ditemukan,Packaging Kayu aman dan rapih. Barang tidak lecet sama sekali🙏🏻,5,Lebih dari 1 tahun lalu
A***h,SHARP Air Purifier FP-F30Y,Varian barang tidak ditemukan,"Mantap pelayanannya 
Thanks",5,Lebih dari 1 tahun lalu
Muhammad,"SEKAI Wall Exhaust Fan 12"" WEF 1290",Varian barang tidak ditemukan,sesuai pesanan,5,Lebih dari 1 tahun lalu
iswanto,LG Monitor LED TV 24 Inch 24TL520,Varian barang tidak ditemukan,pesan tiba. bintang 5 untuk penjual nya😀😀😀,5,Lebih dari 1 tahun lalu
Arief,MIYAKO KIPAS ANGIN WALL FAN REMOTE KAW-1689 RC,Varian barang tidak ditemukan,"Alhamdulillah tidak cukup setengah jam pesanan sudah sampai. Kipas anginnya berfungsi dengan baik. respon seller cepat dan ramah, barang dicek dan konfirmasi keadaan bara...",5,Lebih dari 1 tahun lalu
N***i,MIYAKO KIPAS ANGIN WALL FAN REMOTE KAW-1689 RC,Varian barang tidak ditemukan,Sellernya ramah banget dan fast respon... sebelum barang dikirim seller mengirimkan kondisi produk secara menyeluruh... pokoknya puas.. pelayanannya di pertahankan kalau...,5,Lebih dari 1 tahun lalu
rhesty,"SEKAI Wall Exhaust Fan 12"" WEF 1290",Varian barang tidak ditemukan,fast respond dan pemeriksaan brgnya bgus dkirimin gmbar produk yg sdg dtes..alaska mantul,5,Lebih dari 1 tahun lalu
Try,LG Inner Cover Masker PuriCare for Wearable Air Purifier,Varian barang tidak ditemukan,"pengiriman barang cepat
belum dipakai smg tdk mngecewakan
dapat harga murah apalg dikota sendiri
smg stoknya selalu ada
jd klo habis beli disini lg",5,Lebih dari 1 tahun lalu
Asri,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,Mantoel,5,Lebih dari 1 tahun lalu
Julia,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,Terimakasih paket sudah sampai dengan aman. Pelayanan seller sangat baik dan ramah,5,Lebih dari 1 tahun lalu
Indri,COSMOS Electric Kettle 1.2 L CTL-210,Varian barang tidak ditemukan,Respond cepat dan ramah. Toko mengirimkan foto sedang mengetest produk.,5,Lebih dari 1 tahun lalu
januar,Mito MO-888 Electric Oven 33 Liter Fantasy,Varian barang tidak ditemukan,"packing aman skali,respon penjual bagus",5,Lebih dari 1 tahun lalu
D***a,MITOCHIBA MESIN CUCI PORTABLE WM-1,Varian barang tidak ditemukan,👍🏻👍🏻👍🏻,5,Lebih dari 1 tahun lalu
Frizky,"SEKAI Wall Exhaust Fan 12"" WEF 1290",Varian barang tidak ditemukan,Siap,5,Lebih dari 1 tahun lalu
CAKE,Miyako KG 502 C Kompor Gas 2 Tungku,Varian barang tidak ditemukan,mantap barangnya dites sbelum dikirim,5,Lebih dari 1 tahun lalu
M***s,CHANGHONG LED TV L24G3HD TV,Varian barang tidak ditemukan,Barang sesuai,5,Lebih dari 1 tahun lalu
Z***l,PHILIPS Stand Mixer Com HR-1559,Varian barang tidak ditemukan,Ulasan tidak ditemukan,5,Lebih dari 1 tahun lalu
januar,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,"barang aman,sudah di tes normal",5,Lebih dari 1 tahun lalu
N***r,LG Kulkas 2 Pintu Smart Inverter GN-B195 SQMT ( Khusus Makassar ),Varian barang tidak ditemukan,"sampe saat ini aman2 aja si, semoga awet. thank you pelayanan baik langsung di antar besok sore",5,Lebih dari 1 tahun lalu
Victor,Miyako KG 502 C Kompor Gas 2 Tungku,Varian barang tidak ditemukan,"Respon cepat dr penjual, barang juga di tes dlu dan dikirimkan foto. Barang juga sampai dgn selamat.",5,Lebih dari 1 tahun lalu
Felicia,"XIAOMI MI TV 4 55"" LED Android Smart TV(KHUSUS MAKASSAR)",Varian barang tidak ditemukan,"respon cpt ,brg mantap.👍",5,Lebih dari 1 tahun lalu
m***h,XIAOMI MI TV 4 32 Smart Android TV (khusus makassar),Varian barang tidak ditemukan,Tv nya bagus dan pengiriman sangat cepat,5,Lebih dari 1 tahun lalu
Leofandy,Maspion Kompor Listrik Portable S301,Varian barang tidak ditemukan,"Pelayan responsif, puas deh",5,Lebih dari 1 tahun lalu
Inda,"SAMSUNG LED Smart TV 32"" UA32-T4500",Varian barang tidak ditemukan,product bagus... pengiriman cepat dan aman... sangat recommended...,5,Lebih dari 1 tahun lalu
I***d,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,"pesan barangnya malam, pagi2 belum jam 10 udah nyampe barangnya. keren alaska",5,Lebih dari 1 tahun lalu
Y***f,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,Mantap! Cepet banget sampenya,5,Lebih dari 1 tahun lalu
I***d,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,"Sangat puas, sebelum di kirim, penjual ngecek dlu barangnya n kirim fotonya.
Pesan jam 8.30 WIB, krn pesan dri Jkt (buat kado). Paketan tiba jam 10.00 WITA
Makasih y min,...",5,Lebih dari 1 tahun lalu
C***o,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,packing rapi dan aman...,5,Lebih dari 1 tahun lalu
A***y,SAMSUNG LED TV 32 Inch - UA32N4003,Varian barang tidak ditemukan,Pelayanan top memuaskan,5,Lebih dari 1 tahun lalu
C***n,LG Inner Cover Masker PuriCare for Wearable Air Purifier,Varian barang tidak ditemukan,"seller ba the best,harga paling top markotop,smoga lapaknya laris terus dan makin maju bersama toped...",5,Lebih dari 1 tahun lalu
C***n,LG Filter Masker Puricare for Wearable Air Purifier,Varian barang tidak ditemukan,"seller ba the best,harga paling top markotop alias paling murah namun tetep original,smoga lapaknya laris terus dan makin maju bersama toped...",5,Lebih dari 1 tahun lalu
Ahmad,BUBBLE WRAP,Varian barang tidak ditemukan,"mantap pokoknya,,, barang sudah di tes dulu sebelum di kirim,,, jadi sudah pasti brangnya bgus gak cacat,,,,",5,Lebih dari 1 tahun lalu
Ahmad,Cosmos Blender CB 522 - Hitam,Varian barang tidak ditemukan,"mantap pokoknya,,, barang sudah di tes dulu sebelum di kirim,,, jadi sudah pasti brangnya bgus gak cacat,,,,",5,Lebih dari 1 tahun lalu
Ahmad,KIRIN Sandwich Toaster / Pemanggang Roti KST-365,Varian barang tidak ditemukan,"mantap pokoknya,,, barang sudah di tes dulu sebelum di kirim,,, jadi sudah pasti brangnya bgus gak cacat,,,,",5,Lebih dari 1 tahun lalu
Sherly,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,"seller sangat responsif, kiriman tiba dalam hitungan jam, sangat cepat, tks",5,Lebih dari 1 tahun lalu
Etha,KIRIN OVEN LISTRIK KBO-190 LW ( Low Watt ),Varian barang tidak ditemukan,mantap...layanan super cepat.. barang nya bagus,5,Lebih dari 1 tahun lalu
Reni,MITO Digital Air Fryer 4 Ltr,Varian: Hijau,"Puas bangets, admin fast respon, pengiriman cepat, mantap 😎",5,Lebih dari 1 tahun lalu
imran,MIYAKO KIPAS ANGIN WALL FAN REMOTE KAW-1689 RC,Varian barang tidak ditemukan,pelayanan sangat baik..muda mudahan barang awet,5,Lebih dari 1 tahun lalu
D***y,RINNAI Kompor Gas 2 Tungku RI-522S,Varian barang tidak ditemukan,Proses pengiriman cepat lancar,5,Lebih dari 1 tahun lalu
Hariyanto,"SEKAI Exhaust Fan 8"" MVF-893",Varian barang tidak ditemukan,"barang sesuai deskripsi, seller responsif, pengiriman cepat",5,Lebih dari 1 tahun lalu
Azka,MASPION MWF-3001 RC KIPAS ANGIN,Varian barang tidak ditemukan,Gampang dirakit Hemat listrik ⚡ Udara jadi sejuk Garansi terjamin Desain elegan,5,Lebih dari 1 tahun lalu
nur,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,Fast respon dan barang original,5,Lebih dari 1 tahun lalu
Akhmad,"Cosmos Kipas Angin 3in1/3Fungsi 16SO33 ONY(16"")",Varian barang tidak ditemukan,Gampang dirakit. Desain elegan. Udara jadi sejuk.,5,Lebih dari 1 tahun lalu
Muhammad,Cosmos Stand Fan 16 inch - 16XDC,Varian barang tidak ditemukan,"respon y cepat,ramah,barangy
 tiba dgn selamat..",5,Lebih dari 1 tahun lalu
Lala,PHILIPS Setrika Listrik HD-1172,Varian barang tidak ditemukan,"mantap fast respon, lain kali bakal belanja disini lagi",5,Lebih dari 1 tahun lalu
Ingrid,Mito MO-888 Electric Oven 33 Liter Fantasy,Varian barang tidak ditemukan,respon toko cepat dan baik. barang diterima bagus. makasih ya,5,Lebih dari 1 tahun lalu
azrul,PROGAS kompor portable 2 in 1 Termurah,Varian barang tidak ditemukan,"barang sesuai pesanan, respon dan pengiriman cepat, recomended  seller",5,Lebih dari 1 tahun lalu
Pangeran,RINNAI Kompor Gas 2 Tungku RI-522S,Varian barang tidak ditemukan,"Mantap bet, sesuai deskripsi dan sudah di tes juga. Mantap lah, makasih juga buat ucapannya kak 😊😍",5,Lebih dari 1 tahun lalu
Nano,MIYAKO Setrika EI-1008M,Varian barang tidak ditemukan,Barangnya original 👍,5,Lebih dari 1 tahun lalu
Lazuardi,KIRIN Sandwich Toaster / Pemanggang Roti KST-365,Varian barang tidak ditemukan,"Barang sesuai deskripsi dan di check sebelum di kirim berikut fotonya, respon seller luar biasa, meskipun cepat tiba, tapi saat hujan kurir kurang care, sehingga paket ba...",5,Lebih dari 1 tahun lalu
Hasman,Mito MO-888 Electric Oven 33 Liter Fantasy,Varian barang tidak ditemukan,Panas merata. Mutu terjamin SNI. Barangnya original 👍. Desainnya elegan ✨.,5,Lebih dari 1 tahun lalu
Sukma,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,Makasih 👍🏽 pelayanannya bagus yaah sebelum diproses di foto dulu barangnya dan dicoba 😊,5,Lebih dari 1 tahun lalu
R,Maspion Kompor Listrik Portable S301,Varian barang tidak ditemukan,Barangnya original 👍.,5,Lebih dari 1 tahun lalu
Frans,LG Inner Cover Masker PuriCare for Wearable Air Purifier,Varian barang tidak ditemukan,produk bagus sesuai deskripsi,5,Lebih dari 1 tahun lalu
N***n,BUBBLE WRAP,Varian barang tidak ditemukan,Barang bagus,5,Lebih dari 1 tahun lalu
Nasran,"SEKAI Kipas Angin Tornado 10"" HFN-1060",Varian barang tidak ditemukan,Respon admin keren. Barang sesuai pesanan. Alaska Store is the best...,5,Lebih dari 1 tahun lalu
A***a,Mito MO-888 Electric Oven 33 Liter Fantasy,Varian barang tidak ditemukan,"seller responsif sekali, sebelum dikirim barang di cek dlu. pengemasan dan pengiriman cepat bgt. sangat puassss. terima kasih alaska",5,Lebih dari 1 tahun lalu
c***a,KIRIN OVEN LISTRIK KBO-190 LW ( Low Watt ),Varian barang tidak ditemukan,"Barang bagus, harga bersaing. Seller fast respon dan ramah.",5,Lebih dari 1 tahun lalu
N***n,COSMOS Kipas Angin Berdiri / Stand Fan 18-TIF 90Watt,Varian barang tidak ditemukan,Fast response,5,Lebih dari 1 tahun lalu
Saputra,miyako Rice cooker 3 in 1 model mcm 609,Varian barang tidak ditemukan,Mantap,5,Lebih dari 1 tahun lalu
A***o,COSMOS Desk Fan / Kipas Angin 12 LDA,Varian barang tidak ditemukan,Desain elegan. Garansi terjamin. Udara jadi sejuk. Gampang dirakit. Hemat listrik ⚡.,5,Lebih dari 1 tahun lalu
Dino,RINNAI KOMPOR RI-712 BGX,Varian barang tidak ditemukan,Mantap,5,Lebih dari 1 tahun lalu
restu,Cosmos Blender CB 282G,Varian barang tidak ditemukan,"mantap, pelayanan yg cepat dan ramah",5,Lebih dari 1 tahun lalu
Ira,Miyako KG 502 C Kompor Gas 2 Tungku,Varian barang tidak ditemukan,barangnya sesuai pesan,5,Lebih dari 1 tahun lalu
Ashadi,"SEKAI Wall Exhaust Fan 12"" WEF 1290",Varian barang tidak ditemukan,Top... Barang sesuai pesanan dan pengiriman tepat waktu... sy akan repeat order lagi ke toko ini,5,Lebih dari 1 tahun lalu
Rahmat,XIAOMI MI TV 4 32 Smart Android TV,Varian barang tidak ditemukan,Ringan tapi kokoh.,5,Lebih dari 1 tahun lalu
megawati,Cosmos Blender CB 282G,Varian barang tidak ditemukan,"Pengiriman cepat, respon penjual juga sangat baik",5,Lebih dari 1 tahun lalu
V***a,KIRIN Setrika KEI-340N,Varian barang tidak ditemukan,Hasil licin. Barangnya original 👍. Mutu terjamin SNI. Ada garansi resmi. Gampang dipakai. Beratnya ringan 👍. Hemat listrik ⚡. Hemat listrik ⚡.,5,Lebih dari 1 tahun lalu
YOHANES,Cosmos wall fan 16 WFC /kipas angin listrik dinding tembok,Varian barang tidak ditemukan,"selalu puas jika berbelanja di toko ini,, barang2nya bagus dan pelayanan juga ramah,, semoga lebih sukses lagi ke depannya..",5,Lebih dari 1 tahun lalu
nur,Mito MO-888 Electric Oven 33 Liter Fantasy,Varian barang tidak ditemukan,"Fast respon,  Barangnya original 👍 Mutu terjamin SNI Ada garansi resmi , blum di coba",5,Lebih dari 1 tahun lalu
YOHANES,GELAS TAKARAN SCARLET GL 1831 (1000CC),Varian barang tidak ditemukan,"selalu puas jika berbelanja di toko ini,, barang2nya bagus dan pelayanan juga ramah,, semoga lebih sukses lagi ke depannya..",5,Lebih dari 1 tahun lalu
Herry,"SEKAI Wall Exhaust Fan 12"" WEF 1290",Varian barang tidak ditemukan,"pelayanan costumer servicenya buagus sekali, komunikasi dengan pelanggan sangat baik dan bisa memberikan solusi ke pelanggan. recomendet belanja online di alaska.",5,Lebih dari 1 tahun lalu
Sri,MIYAKO Dispenser Portable WD-190 H,Varian barang tidak ditemukan,mantap,5,Lebih dari 1 tahun lalu
mahfira,RINNAI Kompor Gas 2 Tungku RI-522S,Varian barang tidak ditemukan,bagusss,5,Lebih dari 1 tahun lalu
Rochmad,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,SARILAUT MAS WAWAN rappocini mengucapkan ..... mantaaaappp mentong ..,5,Lebih dari 1 tahun lalu
Muhammad,MIYAKO Setrika EI-1008M,Varian barang tidak ditemukan,Makasih kak,5,Lebih dari 1 tahun lalu
A,MIYAKO Stand Mixer SM-625,Varian barang tidak ditemukan,pelayanan bagus respon cepat,5,Lebih dari 1 tahun lalu
W***h,Mito MO-666 Neo Electric Oven 20 L,Varian barang tidak ditemukan,"Pelayanan dgn respon yg cepat, barang bagus ..",5,Lebih dari 1 tahun lalu
Hans,MITOCHIBA MESIN CUCI PORTABLE WM-1,Varian barang tidak ditemukan,barang bagus dan praktis untuk digunakan,5,Lebih dari 1 tahun lalu
Asn,Kompor Rinnai RI522C,Varian barang tidak ditemukan,respon cepat,5,Lebih dari 1 tahun lalu
Marissa,COSMOS Electric Kettle 1.2 L CTL-210,Varian barang tidak ditemukan,"Pengiriman cepat, packingan aman",5,Lebih dari 1 tahun lalu
Tivani,PROGAS kompor portable 2 in 1 Termurah,Varian barang tidak ditemukan,"packaging super rapi, didobel bubble wrap spy aman",5,Lebih dari 1 tahun lalu
Karl,RINNAI KOMPOR RI-712 BGX,Varian barang tidak ditemukan,"Respon cepat dan ramah, produk terbaik telah diperiksa dan ditestkan terlebih dahulu, packaging rapih dan aman. Thankyu.",5,Lebih dari 1 tahun lalu
Khuzeini,COSMOS Stand Mixer Cosmic CM-1589,Varian barang tidak ditemukan,recomended seller..👍👍👍⭐⭐⭐⭐⭐,5,Lebih dari 1 tahun lalu
YOHANES,Cosmos Blender CB 282G,Varian barang tidak ditemukan,Pisaunya tajam 👍. Gampang dibersihkan. Ringan tapi kokoh. Garansi terjamin. Nggak cepat berbau. Gampang dipakai.,5,Lebih dari 1 tahun lalu
Bright,MITOCHIBA MESIN CUCI PORTABLE WM-1,Varian barang tidak ditemukan,Barangnya original 👍.,5,Lebih dari 1 tahun lalu
G***a,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,Respon admin toko baik. Pagkaging baik. Pengiriman cepat. Terimakasih ya,5,Lebih dari 1 tahun lalu
D***i,RINNAI Kompor Gas 1 Tungku RI-301S,Varian barang tidak ditemukan,Pelayanannya baik dan cepat.,5,Lebih dari 1 tahun lalu
Sriyanti,MITO ELECTRIC OVEN FANTASY 2 33 L MO-888 NEW,Varian barang tidak ditemukan,Bagus..,5,Lebih dari 1 tahun lalu
S***y,LG Mesin Cuci 14Kg 2 Tabung P-1400RT(khusus makassar),Varian barang tidak ditemukan,harga bersaing.. admin fast respon,5,Lebih dari 1 tahun lalu
A***i,MIYAKO Setrika EI-1008M,Varian barang tidak ditemukan,"barang original packaging rapi tapi lain kali tolong dos barang jangan ikut di lakban ya,, 😁😁",5,Lebih dari 1 tahun lalu
ainun,Cosmos Blender CB 282G,Varian barang tidak ditemukan,"seller responsif, sesuai dgn deskripsi produk",5,Lebih dari 1 tahun lalu
E***i,TURBO MIXER GRANDE EHM-9595,Varian barang tidak ditemukan,Barangnya original 👍 Barang yang dikirim lengkap Bergaransi Resmi,5,Lebih dari 1 tahun lalu
H***h,COSMOS Desk Fan / Kipas Angin 12 LDA,Varian barang tidak ditemukan,"mantappp. kencang sekali anginnya untuk kamar ukuran 20m²

seller juga walaupun sudah hampir tutup masih nasempatkan kirim Instan. trims",5,Lebih dari 1 tahun lalu
R***o,Cosmos Blender CB 522 - Hitam,Varian barang tidak ditemukan,"Seller responsif, alat diuji coba dan difotokan ke pembeli sebelum dikirim, alat berfungsi dengan baik",5,Lebih dari 1 tahun lalu
V***a,MIYAKO Rice Cooker MCM-507,Varian barang tidak ditemukan,"Good seller, barang ori, ditest juga sebelum dikirim, pengiriman instant. Penjelasan admin ok banget. Terimakasih dan sukses terus ya.",5,Lebih dari 1 tahun lalu
A***n,PHILIPS Setrika GC-122 350Watt,Varian: HIJAU-77,Barangnya original 👍. Beratnya ringan 👍.,5,Lebih dari 1 tahun lalu
l***a,Cosmos Blender CB 282G,Varian barang tidak ditemukan,"barangnya bagus, sudah dibantu tes sama orang di toko sekalian garansinya juga😍",5,Lebih dari 1 tahun lalu
A***y,MIYAKO Blender Plastik 1.5Liter BL-151 PF/AP,Varian barang tidak ditemukan,pengiriman gercep dan barang sesuai pesanan dan bergaransi,5,Lebih dari 1 tahun lalu
